,currency_marketcap,currency_name,currency_price,currency_supply,time
0,173745977948 ,Bitcoin,9551.34,18190750 BTC,20200130154950 
1,20161930087 ,Ethereum,184.13,109496066 ETH,20200130154950 
2,10648774381 ,XRP,0.24376,43685558183 XRP,20200130154950 
3,7164023641 ,Bitcoin Cash,392.51,18251950 BCH,20200130154950 
4,5422346674 ,Bitcoin SV,297.13,18248977 BSV,20200130154950 
5,4654701546 ,Tether,1,4642367414 USDT,20200130154950 
6,4438121140 ,Litecoin,69.38,63972336 LTC,20200130154950 
7,4133218545 ,EOS,4.35,950915332 EOS,20200130154950 
8,2873144516 ,Binance Coin,18.47,155536713 BNB,20200130154950 
9,1462256703 ,Cardano,0.056399,25927070538 ADA,20200130154950 
10,1418393542 ,Ethereum Classic,12.19,116313299 ETC,20200130154950 
11,1283695197 ,TRON,0.019251,66682072191 TRX,20200130154950 
12,1253374428 ,Monero,71.94,17422731 XMR,20200130154950 
13,1223564542 ,Stellar,0.060992,20061035477 XLM,20200130154950 
14,1172957938 ,Tezos,1.69,694191974 XTZ,20200130154950 
15,1152498968 ,Dash,123.91,9300777 DASH,20200130154950 
16,1027513926 ,Chainlink,2.94,350000000 LINK,20200130154950 
17,880423676 ,UNUS SED LEO,0.880865,999498893 LEO,20200130154950 
18,844623216 ,Cosmos,4.43,190688439 ATOM,20200130154950 
19,827644145 ,Neo,11.73,70538831 NEO,20200130154950 
20,826373287 ,Huobi Token,3.49,236468066 HT,20200130154950 
21,821944146 ,IOTA,0.295713,2779530283 MIOTA,20200130154950 
22,740660495 ,HedgeTrade,2.57,288216243 HEDG,20200130154950 
23,702958107 ,Crypto.com Coin,0.052639,13354337900 CRO,20200130154950 
24,600832842 ,Zcash,68.58,8760781 ZEC,20200130154950 
25,539969422 ,Maker,546.32,988382 MKR,20200130154950 
26,467514495 ,Ontology,0.733527,637351170 ONT,20200130154950 
27,455343627 ,USD Coin,1.05,433933207 USDC,20200130154950 
28,376569263 ,NEM,0.041841,8999999999 XEM,20200130154950 
29,316890561 ,Basic Attention Token,0.222663,1423187364 BAT,20200130154950 
30,316862726 ,VeChain,0.005714,55454734800 VET,20200130154950 
31,299049458 ,Dogecoin,0.002429,123115845340 DOGE,20200130154950 
32,233615272 ,FTX Token,2.41,96888230 FTT,20200130154950 
33,228376006 ,Paxos Standard,1,227843747 PAX,20200130154950 
34,209450462 ,Qtum,2.17,96347908 QTUM,20200130154950 
35,206288837 ,Bitcoin Gold,11.78,17513924 BTG,20200130154950 
36,206033166 ,Decred,19.1,10786831 DCR,20200130154950 
37,197304575 ,Synthetix Network Token,1.22,162231159 SNX,20200130154950 
38,161856313 ,Augur,14.71,11000000 REP,20200130154950 
39,149996944 ,Ravencoin,0.027749,5405410000 RVN,20200130154950 
40,145322936 ,0x,0.232161,625958624 ZRX,20200130154950 
41,136384214 ,TrueUSD,1,135835157 TUSD,20200130154950 
42,132527591 ,Molecular Future,1.56,85197806 MOF,20200130154950 
43,131893264 ,Algorand,0.242819,543175436 ALGO,20200130154950 
44,129151777 ,Swipe,1.98,65373112 SXP,20200130154950 
45,128342062 ,OKB,3.21,40000000 OKB,20200130154950 
46,127242087 ,ZB Token,0.27465,463288810 ZB,20200130154950 
47,122698045 ,OmiseGO,0.874881,140245398 OMG,20200130154950 
48,120258275 ,Bitcoin Diamond,0.644841,186492898 BCD,20200130154950 
49,117363749 ,Lisk,0.964175,121724473 LSK,20200130154950 
50,113907750 ,ICON,0.219611,518680227 ICX,20200130154950 
51,109234985 ,Multi-collateral DAI,1.03,105773776 DAI,20200130154950 
